Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition;GPS Longitude;GPS Latitude;GPS Satelliten;GPS Speed;Wind Richtung;Wind Speed
2013-04-15 11:06:02:0636;1366016762636;160.9;;;;;;;;;;
2013-04-15 11:06:02:0645;1366016762645;;;;68.0;;;;;;;
2013-04-15 11:06:02:0786;1366016762786;;;;;68;;;;;;
2013-04-15 11:06:02:0878;1366016762878;160.8;;;;;;;;;;
2013-04-15 11:06:02:0989;1366016762989;;;;68.0;;;;;;;
2013-04-15 11:06:03:0118;1366016763118;162.75;;;;;;;;;;
2013-04-15 11:06:03:0130;1366016763130;;;;;68;;;;;;
2013-04-15 11:06:03:0330;1366016763330;;;;68.0;;;;;;;
2013-04-15 11:06:03:0355;1366016763355;166.35;;;;;;;;;;
2013-04-15 11:06:03:0482;1366016763482;;;;;68;;;;;;
2013-04-15 11:06:03:0591;1366016763591;171.4;;;;;;;;;;
2013-04-15 11:06:03:0682;1366016763682;;;;68.0;;;;;;;
2013-04-15 11:06:03:0824;1366016763824;;;;;68;;;;;;
2013-04-15 11:06:03:0832;1366016763832;175.3;;;;;;;;;;
2013-04-15 11:06:04:0024;1366016764024;;;;68.0;;;;;;;
2013-04-15 11:06:04:0067;1366016764067;180.0;;;;;;;;;;
2013-04-15 11:06:04:0166;1366016764166;;;;;68;;;;;;
2013-04-15 11:06:04:0306;1366016764306;185.4;;;;;;;;;;
2013-04-15 11:06:04:0368;1366016764368;;;;68.0;;;;;;;
2013-04-15 11:06:04:0544;1366016764544;191.6;;;;;;;;;;
2013-04-15 11:06:04:0546;1366016764546;;;;;68;;;;;;
2013-04-15 11:06:04:0746;1366016764746;;;;68.0;;;;;;;
2013-04-15 11:06:04:0781;1366016764781;198.05;;;;;;;;;;
2013-04-15 11:06:04:0890;1366016764890;;;;;68;;;;;;
2013-04-15 11:06:05:0018;1366016765018;203.6;;;;;;;;;;
2013-04-15 11:06:05:0090;1366016765090;;;;68.0;;;;;;;
2013-04-15 11:06:05:0238;1366016765238;;;;;68;;;;;;
