Zeitstempel;Zeit in ms seit 01.01.1970;Kompasskurs Azimuth;Differenz SimplePIDController;Rudderposition SimplePIDController;Pilot Rudderposition;AKSEN Winkel Rudderposition
2013-03-27 14:30:02:0101;1364391002101;270.8;;;;
2013-03-27 14:30:02:0338;1364391002338;270.7;;;;
2013-03-27 14:30:02:0560;1364391002560;;-34.0;;;
2013-03-27 14:30:02:0560;1364391002560;;;59.5;;
2013-03-27 14:30:02:0561;1364391002561;;;;59.5;
2013-03-27 14:30:02:0575;1364391002575;270.7;;;;
2013-03-27 14:30:02:0709;1364391002709;;;;;59
2013-03-27 14:30:02:0813;1364391002813;270.7;;;;
2013-03-27 14:30:03:0051;1364391003051;270.9;;;;
2013-03-27 14:30:03:0289;1364391003289;270.9;;;;
2013-03-27 14:30:03:0339;1364391003339;;-25.0;;;
2013-03-27 14:30:03:0339;1364391003339;;;52.41;;
2013-03-27 14:30:03:0339;1364391003339;;;;52.41;
2013-03-27 14:30:03:0507;1364391003507;;;;;52
2013-03-27 14:30:03:0527;1364391003527;270.8;;;;
2013-03-27 14:30:03:0708;1364391003708;;-18.0;;;
2013-03-27 14:30:03:0708;1364391003708;;;46.91;;
2013-03-27 14:30:03:0708;1364391003708;;;;46.91;
2013-03-27 14:30:03:0770;1364391003770;270.75;;;;
2013-03-27 14:30:03:0855;1364391003855;;;;;46
